bSize,bCount,run,MBspeed,Bspeed
4,8388608,0,5.68,5952710.02
4,8388608,1,5.70,5975647.52
4,8388608,2,5.68,5951146.38
4,8388608,3,5.61,5881545.89
4,8388608,4,5.66,5933796.49
4,8388608,5,5.55,5815769.80
4,8388608,6,5.64,5916493.24
4,8388608,7,5.64,5914207.10
4,8388608,8,5.65,5927960.49
4,8388608,9,4.77,4998734.79
8,8388608,0,9.72,10194324.97
8,8388608,1,10.34,10845060.46
8,8388608,2,10.90,11427586.13
8,8388608,3,10.96,11493462.02
8,8388608,4,11.05,11581836.27
8,8388608,5,11.31,11860027.80
8,8388608,6,11.28,11831315.28
8,8388608,7,11.27,11814119.00
8,8388608,8,10.99,11524554.77
8,8388608,9,11.25,11799564.00
16,8388608,0,20.92,21937130.99
16,8388608,1,22.22,23294320.50
16,8388608,2,21.13,22152198.01
16,8388608,3,20.30,21282737.01
16,8388608,4,20.99,22011775.72
16,8388608,5,22.09,23159455.77
16,8388608,6,20.39,21383326.15
16,8388608,7,22.19,23263163.80
16,8388608,8,21.78,22839957.49
16,8388608,9,22.17,23249626.69
32,8388608,0,43.77,45900283.93
32,8388608,1,41.88,43915131.06
32,8388608,2,42.62,44690478.10
32,8388608,3,40.91,42902117.05
32,8388608,4,40.63,42600416.30
32,8388608,5,39.88,41812897.57
32,8388608,6,37.91,39752809.70
32,8388608,7,41.12,43121095.37
32,8388608,8,40.99,42982544.74
32,8388608,9,40.33,42287345.86
64,8388608,0,71.36,74823712.97
64,8388608,1,74.08,77679668.09
64,8388608,2,71.86,75351564.16
64,8388608,3,78.50,82313404.34
64,8388608,4,78.26,82058659.22
64,8388608,5,77.85,81632264.55
64,8388608,6,73.23,76782632.63
64,8388608,7,75.94,79625764.31
64,8388608,8,77.28,81034013.01
64,8388608,9,77.86,81646824.11
128,8388608,0,148.98,156215912.61
128,8388608,1,147.65,154825463.72
128,8388608,2,150.00,157288143.04
128,8388608,3,148.20,155399627.77
128,8388608,4,144.99,152037812.82
128,8388608,5,147.61,154777032.43
128,8388608,6,148.67,155891204.69
128,8388608,7,148.81,156041226.80
128,8388608,8,148.84,156071682.34
128,8388608,9,147.48,154641456.34
