bSize,bCount,run,MBspeed,Bspeed,seconds
1,8388608,0,1.27,1334604.40,6.29
2,8388608,0,2.70,2828628.15,5.93
4,8388608,0,5.22,5474254.49,6.13
8,8388608,0,10.59,11101020.01,6.05
16,8388608,0,20.73,21741009.25,6.17
32,8388608,0,42.57,44640483.38,6.01
64,8388608,0,81.09,85027183.50,6.31
128,8388608,0,149.81,157082704.64,6.84
256,8388608,0,295.15,309486524.69,6.94
512,8388608,0,479.96,503274283.85,8.53
1024,4194304,0,707.27,741631206.31,5.79
2048,4194304,0,916.95,961490012.32,8.93
4096,2097152,0,1177.16,1234338174.08,6.96
8192,1048576,0,1209.88,1268652535.77,6.77
16384,524288,0,1444.87,1515053079.26,5.67
32768,262144,0,1398.65,1466588389.79,5.86
65536,131072,0,1523.90,1597921604.45,5.38
131072,65536,0,1514.66,1588231522.03,5.41
262144,32768,0,1530.24,1604571664.11,5.35
524288,16384,0,1515.49,1589111581.06,5.41
