bSize,bCount,run,MBspeed,Bspeed,seconds
1,8388608,0,1.19,1250877.23,6.71
2,8388608,0,2.72,2853011.85,5.88
4,8388608,0,5.31,5564145.09,6.03
8,8388608,0,10.65,11164873.82,6.01
16,8388608,0,22.32,23402371.90,5.74
32,8388608,0,44.13,46277157.03,5.80
64,8388608,0,83.37,87419438.51,6.14
128,8388608,0,159.50,167248254.88,6.42
256,8388608,0,299.79,314348216.51,6.83
512,8388608,0,472.38,495330008.30,8.67
1024,4194304,0,711.92,746504644.52,5.75
2048,4194304,0,914.46,958885130.37,8.96
4096,2097152,0,1134.98,1190108687.97,7.22
8192,1048576,0,1250.26,1310994033.34,6.55
16384,524288,0,1335.94,1400831413.97,6.13
32768,262144,0,1417.19,1486026247.53,5.78
65536,131072,0,1431.08,1500598510.94,5.72
131072,65536,0,1469.02,1540375145.77,5.58
262144,32768,0,1490.93,1563355978.19,5.49
524288,16384,0,1447.95,1518282643.16,5.66
1048576,8192,0,1422.96,1492082382.05,5.76
2097152,4096,0,1478.98,1550817706.76,5.54
4194304,2048,0,1526.63,1600783340.09,5.37
8388608,1024,0,1448.78,1519158032.79,5.65
