bSize,bCount,run,MBspeed,Bspeed
4,8388608,0,5.69,5971118.45
4,8388608,1,5.29,5549702.14
4,8388608,2,5.60,5875588.21
4,8388608,3,5.75,6032888.63
4,8388608,4,5.78,6065031.12
4,8388608,5,5.74,6021140.78
4,8388608,6,5.70,5972929.61
4,8388608,7,5.67,5949677.63
4,8388608,8,5.75,6029110.94
4,8388608,9,5.70,5972382.37
8,8388608,0,11.46,12015308.94
8,8388608,1,10.46,10973052.73
8,8388608,2,10.46,10966285.66
8,8388608,3,10.19,10688310.41
8,8388608,4,10.43,10941705.79
8,8388608,5,10.78,11306394.12
8,8388608,6,10.36,10868410.98
8,8388608,7,9.69,10157791.66
8,8388608,8,9.96,10440333.28
8,8388608,9,9.66,10126287.90
16,8388608,0,20.41,21397244.70
16,8388608,1,20.45,21447620.33
16,8388608,2,20.69,21693093.11
16,8388608,3,20.68,21680471.13
16,8388608,4,20.68,21679848.27
16,8388608,5,20.38,21368677.01
16,8388608,6,19.95,20915554.59
16,8388608,7,19.26,20195632.84
16,8388608,8,19.93,20897145.33
16,8388608,9,19.90,20871286.21
32,8388608,0,38.24,40098358.22
32,8388608,1,39.21,41112233.22
32,8388608,2,39.28,41187613.49
32,8388608,3,40.45,42410081.10
32,8388608,4,40.72,42693946.41
32,8388608,5,41.33,43339142.30
32,8388608,6,40.88,42863048.87
32,8388608,7,41.09,43084115.24
32,8388608,8,41.55,43565557.63
32,8388608,9,41.18,43180381.56
64,8388608,0,79.70,83575234.89
64,8388608,1,79.86,83734730.44
64,8388608,2,80.34,84244806.26
64,8388608,3,79.52,83383708.57
64,8388608,4,79.67,83543784.33
64,8388608,5,77.98,81769363.59
64,8388608,6,77.84,81618576.97
64,8388608,7,77.43,81187925.82
64,8388608,8,77.37,81127050.52
64,8388608,9,77.77,81551625.51
128,8388608,0,149.63,156900472.90
128,8388608,1,152.61,160022659.13
128,8388608,2,152.29,159684152.81
128,8388608,3,152.24,159634473.58
128,8388608,4,152.42,159825792.40
128,8388608,5,151.59,158956882.87
128,8388608,6,151.91,159293301.18
128,8388608,7,148.61,155824623.15
128,8388608,8,148.35,155557784.76
128,8388608,9,147.92,155105497.04
