cached,bSize,bCount,run,MBspeed,Bspeed,seconds
1,1,16777216,0,1.84,1931091.23,8.69
1,1,16777216,1,1.88,1970458.67,8.51
1,1,16777216,2,1.87,1959511.49,8.56
1,1,16777216,3,1.88,1968474.31,8.52
1,1,16777216,4,1.84,1929873.03,8.69
1,1,16777216,5,1.87,1963038.43,8.55
1,1,16777216,6,1.87,1955674.57,8.58
1,1,16777216,7,1.87,1964942.54,8.54
1,1,16777216,8,1.87,1965021.93,8.54
1,1,16777216,9,1.87,1960684.47,8.56
1,2,16777216,0,3.74,3926290.44,8.55
1,2,16777216,1,3.73,3906145.27,8.59
1,2,16777216,2,3.73,3913155.98,8.57
1,2,16777216,3,3.66,3833563.30,8.75
1,2,16777216,4,3.68,3860669.75,8.69
1,2,16777216,5,3.70,3874570.49,8.66
1,2,16777216,6,3.68,3858965.23,8.70
1,2,16777216,7,3.69,3872431.78,8.66
1,2,16777216,8,3.68,3863722.97,8.68
1,2,16777216,9,3.68,3856359.16,8.70
1,4,16777216,0,7.25,7603151.84,8.83
1,4,16777216,1,7.26,7613891.68,8.81
1,4,16777216,2,7.28,7635600.57,8.79
1,4,16777216,3,7.22,7571978.57,8.86
1,4,16777216,4,7.27,7622747.76,8.80
1,4,16777216,5,7.25,7602510.31,8.83
1,4,16777216,6,7.27,7622693.88,8.80
1,4,16777216,7,7.26,7607859.08,8.82
1,4,16777216,8,7.27,7618680.48,8.81
1,4,16777216,9,7.25,7606227.55,8.82
1,8,16777216,0,14.50,15208919.80,8.82
1,8,16777216,1,14.65,15359814.17,8.74
1,8,16777216,2,14.69,15406890.51,8.71
1,8,16777216,3,14.64,15350312.69,8.74
1,8,16777216,4,14.69,15405307.77,8.71
1,8,16777216,5,14.64,15351576.87,8.74
1,8,16777216,6,14.67,15387019.82,8.72
1,8,16777216,7,14.65,15362743.30,8.74
1,8,16777216,8,14.68,15392276.65,8.72
1,8,16777216,9,14.63,15341166.18,8.75
1,16,16777216,0,28.72,30114366.31,8.91
1,16,16777216,1,29.00,30410702.44,8.83
1,16,16777216,2,28.72,30112737.75,8.91
1,16,16777216,3,28.80,30201546.37,8.89
1,16,16777216,4,28.66,30050081.79,8.93
1,16,16777216,5,28.78,30174469.14,8.90
1,16,16777216,6,29.11,30521082.59,8.80
1,16,16777216,7,29.08,30491313.07,8.80
1,16,16777216,8,28.72,30109860.40,8.92
1,16,16777216,9,29.03,30439494.18,8.82
1,32,16777216,0,57.34,60121465.07,8.93
1,32,16777216,1,57.33,60110155.34,8.93
1,32,16777216,2,57.36,60147727.98,8.93
1,32,16777216,3,57.30,60086703.69,8.93
1,32,16777216,4,57.26,60046696.42,8.94
1,32,16777216,5,57.28,60061993.48,8.94
1,32,16777216,6,57.41,60199765.87,8.92
1,32,16777216,7,56.30,59034625.54,9.09
1,32,16777216,8,57.25,60035195.53,8.94
1,32,16777216,9,56.65,59396851.89,9.04
1,64,16777216,0,109.24,114550473.35,9.37
1,64,16777216,1,109.37,114687799.71,9.36
1,64,16777216,2,109.50,114815145.52,9.35
1,64,16777216,3,109.01,114302246.92,9.39
1,64,16777216,4,109.52,114844801.84,9.35
1,64,16777216,5,108.18,113433984.91,9.47
1,64,16777216,6,109.27,114577448.24,9.37
1,64,16777216,7,109.72,115052176.29,9.33
1,64,16777216,8,109.80,115133573.40,9.33
1,64,16777216,9,109.35,114658250.67,9.36
1,128,8388608,0,200.57,210309903.94,5.11
1,128,8388608,1,203.48,213364404.71,5.03
1,128,8388608,2,203.02,212885442.58,5.04
1,128,8388608,3,204.74,214686962.84,5.00
1,128,8388608,4,203.24,213114755.86,5.04
1,128,8388608,5,204.66,214598228.56,5.00
1,128,8388608,6,203.07,212929226.10,5.04
1,128,8388608,7,204.77,214719164.29,5.00
1,128,8388608,8,203.27,213148141.77,5.04
1,128,8388608,9,204.34,214262717.41,5.01
1,256,8388608,0,348.38,365300373.51,5.88
1,256,8388608,1,350.86,367901034.59,5.84
1,256,8388608,2,349.06,366014769.03,5.87
1,256,8388608,3,351.65,368728444.52,5.82
1,256,8388608,4,352.61,369735814.67,5.81
1,256,8388608,5,352.00,369096593.26,5.82
1,256,8388608,6,352.60,369724432.08,5.81
1,256,8388608,7,350.74,367774655.88,5.84
1,256,8388608,8,352.85,369994828.93,5.80
1,256,8388608,9,350.36,367382493.52,5.85
1,512,8388608,0,561.90,589191974.79,7.29
1,512,8388608,1,564.74,592176004.38,7.25
1,512,8388608,2,564.39,591806357.43,7.26
1,512,8388608,3,564.68,592107588.49,7.25
1,512,8388608,4,563.46,590835854.82,7.27
1,512,8388608,5,560.49,587712196.70,7.31
1,512,8388608,6,564.10,591496654.03,7.26
1,512,8388608,7,564.75,592182292.04,7.25
1,512,8388608,8,564.03,591426861.07,7.26
1,512,8388608,9,564.63,592059191.12,7.25
1,1024,4194304,0,808.48,847753953.94,5.07
1,1024,4194304,1,804.14,843200497.61,5.09
1,1024,4194304,2,807.30,846514312.63,5.07
1,1024,4194304,3,805.22,844330312.37,5.09
1,1024,4194304,4,805.77,844914782.68,5.08
1,1024,4194304,5,805.37,844487171.48,5.09
1,1024,4194304,6,803.81,842860265.41,5.10
1,1024,4194304,7,810.10,849450731.93,5.06
1,1024,4194304,8,799.96,838819844.19,5.12
1,1024,4194304,9,811.33,850746320.91,5.05
1,2048,4194304,0,1021.50,1071122660.51,8.02
1,2048,4194304,1,1021.78,1071417649.72,8.02
1,2048,4194304,2,1023.03,1072721418.64,8.01
1,2048,4194304,3,1021.73,1071358995.69,8.02
1,2048,4194304,4,1022.53,1072205337.81,8.01
1,2048,4194304,5,1021.08,1070683806.11,8.02
1,2048,4194304,6,1008.25,1057227930.90,8.12
1,2048,4194304,7,1023.15,1072846379.38,8.01
1,2048,4194304,8,1019.36,1068874706.40,8.04
1,2048,4194304,9,1020.55,1070123593.72,8.03
1,4096,2097152,0,1194.99,1253034075.49,6.86
1,4096,2097152,1,1198.57,1256789813.70,6.83
1,4096,2097152,2,1194.37,1252384085.30,6.86
1,4096,2097152,3,1197.97,1256166579.42,6.84
1,4096,2097152,4,1195.56,1253638108.24,6.85
1,4096,2097152,5,1197.60,1255776118.87,6.84
1,4096,2097152,6,1194.41,1252425530.73,6.86
1,4096,2097152,7,1198.42,1256629290.28,6.84
1,4096,2097152,8,1193.34,1251309552.16,6.86
1,4096,2097152,9,1197.34,1255505067.17,6.84
1,8192,1048576,0,1299.46,1362583001.26,6.30
1,8192,1048576,1,1301.21,1364414481.49,6.30
1,8192,1048576,2,1299.00,1362096044.28,6.31
1,8192,1048576,3,1296.86,1359855836.84,6.32
1,8192,1048576,4,1295.92,1358872939.59,6.32
1,8192,1048576,5,1299.48,1362603356.67,6.30
1,8192,1048576,6,1300.29,1363450474.37,6.30
1,8192,1048576,7,1299.05,1362156502.19,6.31
1,8192,1048576,8,1299.85,1362988162.45,6.30
1,8192,1048576,9,1300.61,1363789502.87,6.30
1,16384,524288,0,1346.63,1412042511.42,6.08
1,16384,524288,1,1345.52,1410879651.90,6.09
1,16384,524288,2,1345.15,1410489751.82,6.09
1,16384,524288,3,1346.63,1412044835.74,6.08
1,16384,524288,4,1348.36,1413859472.70,6.08
1,16384,524288,5,1347.37,1412822362.34,6.08
1,16384,524288,6,1347.24,1412678498.02,6.08
1,16384,524288,7,1343.96,1409242019.13,6.10
1,16384,524288,8,1348.45,1413955409.94,6.08
1,16384,524288,9,1343.61,1408874729.76,6.10
1,32768,262144,0,1375.33,1442133050.40,5.96
1,32768,262144,1,1378.38,1445339085.90,5.94
1,32768,262144,2,1376.81,1443685780.29,5.95
1,32768,262144,3,1374.28,1441034004.18,5.96
1,32768,262144,4,1378.37,1445324474.70,5.94
1,32768,262144,5,1374.77,1441552747.75,5.96
1,32768,262144,6,1376.19,1443042844.10,5.95
1,32768,262144,7,1376.39,1443253257.50,5.95
1,32768,262144,8,1377.02,1443905581.97,5.95
1,32768,262144,9,1376.22,1443072148.00,5.95
1,65536,131072,0,1391.02,1458590615.12,5.89
1,65536,131072,1,1391.38,1458966149.23,5.89
1,65536,131072,2,1386.86,1454227597.28,5.91
1,65536,131072,3,1392.30,1459934167.41,5.88
1,65536,131072,4,1388.63,1456088435.93,5.90
1,65536,131072,5,1390.85,1458412011.91,5.89
1,65536,131072,6,1391.74,1459340162.57,5.89
1,65536,131072,7,1384.65,1451912351.66,5.92
1,65536,131072,8,1388.79,1456256758.36,5.90
1,65536,131072,9,1389.33,1456819390.58,5.90
1,131072,65536,0,1385.47,1452769562.73,5.91
1,131072,65536,1,1385.59,1452893937.10,5.91
1,131072,65536,2,1382.82,1449991376.19,5.92
1,131072,65536,3,1384.87,1452142801.11,5.92
1,131072,65536,4,1380.85,1447925391.57,5.93
1,131072,65536,5,1383.34,1450539657.38,5.92
1,131072,65536,6,1384.15,1451391330.48,5.92
1,131072,65536,7,1381.36,1448463492.72,5.93
1,131072,65536,8,1387.80,1455217195.25,5.90
1,131072,65536,9,1383.93,1451154222.44,5.92
1,262144,32768,0,1363.84,1430088657.70,6.01
1,262144,32768,1,1362.78,1428979547.18,6.01
1,262144,32768,2,1364.89,1431186585.81,6.00
1,262144,32768,3,1364.51,1430795610.43,6.00
1,262144,32768,4,1364.86,1431160775.64,6.00
1,262144,32768,5,1365.95,1432303169.07,6.00
1,262144,32768,6,1366.21,1432574313.41,6.00
1,262144,32768,7,1368.31,1434776880.12,5.99
1,262144,32768,8,1366.29,1432660046.21,6.00
1,262144,32768,9,1365.03,1431339476.11,6.00
1,524288,16384,0,1365.22,1431540745.24,6.00
1,524288,16384,1,1371.51,1438127326.42,5.97
1,524288,16384,2,1369.21,1435721694.17,5.98
1,524288,16384,3,1372.96,1439650152.89,5.97
1,524288,16384,4,1374.76,1441538213.00,5.96
1,524288,16384,5,1370.36,1436924735.57,5.98
1,524288,16384,6,1367.72,1434155268.23,5.99
1,524288,16384,7,1371.65,1438277799.00,5.97
1,524288,16384,8,1372.72,1439403351.14,5.97
1,524288,16384,9,1368.52,1434995977.61,5.99
1,1048576,8192,0,1372.19,1438846618.26,5.97
1,1048576,8192,1,1372.49,1439165314.53,5.97
1,1048576,8192,2,1373.76,1440496570.06,5.96
1,1048576,8192,3,1367.35,1433767975.68,5.99
1,1048576,8192,4,1373.87,1440603875.04,5.96
1,1048576,8192,5,1371.59,1438217858.80,5.97
1,1048576,8192,6,1370.28,1436846857.68,5.98
1,1048576,8192,7,1369.47,1435993905.53,5.98
1,1048576,8192,8,1367.92,1434366980.69,5.99
1,1048576,8192,9,1373.48,1440198987.50,5.96
