blockSize,blockCount,numThreads,cached,run,MBspeed,Bspeed,seconds
64,4194304,1,1,0,89.06,93385938.25,2.87
64,4194304,1,1,1,89.52,93866363.84,2.86
64,4194304,1,1,2,89.96,94332485.29,2.85
64,4194304,1,1,3,89.45,93796399.97,2.86
64,4194304,1,1,4,89.25,93585024.64,2.87
128,4194304,1,1,0,171.04,179350166.91,2.99
128,4194304,1,1,1,169.71,177958441.88,3.02
128,4194304,1,1,2,167.77,175915923.28,3.05
128,4194304,1,1,3,168.44,176620865.11,3.04
128,4194304,1,1,4,168.64,176827840.65,3.04
256,4194304,1,1,0,298.89,313411773.55,3.43
256,4194304,1,1,1,301.58,316234171.96,3.40
256,4194304,1,1,2,298.03,312508713.06,3.44
256,4194304,1,1,3,300.32,314905590.36,3.41
256,4194304,1,1,4,300.35,314936926.76,3.41
512,4194304,1,1,0,495.15,519198312.29,4.14
512,4194304,1,1,1,495.28,519339311.15,4.14
512,4194304,1,1,2,496.44,520559312.03,4.13
512,4194304,1,1,3,497.45,521617383.19,4.12
512,4194304,1,1,4,492.36,516279748.46,4.16
1024,2097152,1,1,0,738.75,774631991.70,2.77
1024,2097152,1,1,1,740.15,776106215.95,2.77
1024,2097152,1,1,2,741.73,777756203.11,2.76
1024,2097152,1,1,3,736.80,772587322.42,2.78
1024,2097152,1,1,4,738.16,774016118.53,2.77
2048,2097152,1,1,0,966.77,1013736946.51,4.24
2048,2097152,1,1,1,968.20,1015236295.30,4.23
2048,2097152,1,1,2,967.13,1014109141.91,4.24
2048,2097152,1,1,3,964.24,1011081833.04,4.25
2048,2097152,1,1,4,962.53,1009285315.27,4.26
4096,1048576,1,1,0,1152.41,1208390697.83,3.55
4096,1048576,1,1,1,1149.56,1205402854.83,3.56
4096,1048576,1,1,2,1149.07,1204882757.92,3.56
4096,1048576,1,1,3,1143.02,1198540446.98,3.58
4096,1048576,1,1,4,1152.50,1208479381.61,3.55
8192,524288,1,1,0,1267.73,1329307558.50,3.23
8192,524288,1,1,1,1266.49,1328009116.24,3.23
8192,524288,1,1,2,1252.89,1313751415.31,3.27
8192,524288,1,1,3,1258.37,1319499224.68,3.25
8192,524288,1,1,4,1268.83,1330468797.78,3.23
16384,262144,1,1,0,1317.70,1381706977.79,3.11
