cached,bSize,bCount,run,MBspeed,Bspeed,seconds
0,1,16777216,0,1.88,1967592.23,8.53
0,1,16777216,1,1.88,1968858.20,8.52
0,1,16777216,2,1.87,1963828.69,8.54
0,1,16777216,3,1.87,1955943.65,8.58
0,1,16777216,4,1.87,1956315.59,8.58
0,1,16777216,5,1.77,1859463.93,9.02
0,1,16777216,6,1.86,1952386.94,8.59
0,1,16777216,7,1.87,1956868.05,8.57
0,1,16777216,8,1.87,1959808.15,8.56
0,1,16777216,9,1.88,1971131.39,8.51
0,2,16777216,0,3.50,3675124.58,9.13
0,2,16777216,1,3.72,3900062.41,8.60
0,2,16777216,2,3.66,3842280.98,8.73
0,2,16777216,3,3.73,3908643.22,8.58
0,2,16777216,4,3.73,3907668.76,8.59
0,2,16777216,5,3.74,3924916.36,8.55
0,2,16777216,6,3.70,3875105.29,8.66
0,2,16777216,7,3.72,3903872.39,8.60
0,2,16777216,8,3.75,3933713.66,8.53
0,2,16777216,9,3.56,3733364.58,8.99
0,4,16777216,0,7.32,7671467.62,8.75
0,4,16777216,1,7.16,7502717.19,8.94
0,4,16777216,2,7.22,7574406.57,8.86
0,4,16777216,3,7.18,7530256.64,8.91
0,4,16777216,4,7.18,7533578.91,8.91
0,4,16777216,5,7.15,7500416.27,8.95
0,4,16777216,6,7.32,7678648.78,8.74
0,4,16777216,7,7.35,7711209.26,8.70
0,4,16777216,8,7.29,7647937.76,8.77
0,4,16777216,9,7.38,7742525.27,8.67
0,8,16777216,0,14.44,15141589.36,8.86
0,8,16777216,1,14.39,15084309.72,8.90
0,8,16777216,2,14.41,15112197.46,8.88
0,8,16777216,3,14.49,15196736.36,8.83
0,8,16777216,4,14.51,15216808.48,8.82
0,8,16777216,5,14.48,15178485.29,8.84
0,8,16777216,6,14.60,15304730.50,8.77
0,8,16777216,7,14.60,15310290.99,8.77
0,8,16777216,8,14.58,15286990.52,8.78
0,8,16777216,9,14.60,15305224.83,8.77
0,16,16777216,0,28.49,29875290.27,8.99
0,16,16777216,1,28.31,29687265.55,9.04
0,16,16777216,2,28.32,29690453.38,9.04
0,16,16777216,3,28.57,29955229.10,8.96
0,16,16777216,4,28.37,29749933.20,9.02
0,16,16777216,5,28.08,29445645.00,9.12
0,16,16777216,6,28.34,29719672.82,9.03
0,16,16777216,7,28.57,29960130.51,8.96
0,16,16777216,8,28.57,29955817.28,8.96
0,16,16777216,9,28.45,29828843.70,9.00
0,32,16777216,0,55.12,57797542.15,9.29
0,32,16777216,1,55.72,58425530.51,9.19
0,32,16777216,2,55.50,58193635.44,9.23
0,32,16777216,3,55.69,58395738.23,9.19
0,32,16777216,4,52.31,54853147.45,9.79
0,32,16777216,5,55.93,58651655.52,9.15
0,32,16777216,6,55.56,58261411.19,9.21
0,32,16777216,7,55.46,58156173.17,9.23
0,32,16777216,8,55.67,58370183.79,9.20
0,32,16777216,9,55.88,58591529.91,9.16
0,64,8388608,0,100.73,105622100.70,5.08
0,64,8388608,1,99.72,104559463.18,5.13
0,64,8388608,2,102.51,107494473.17,4.99
0,64,8388608,3,102.96,107961927.36,4.97
0,64,8388608,4,103.33,108351314.35,4.95
0,64,8388608,5,99.82,104673234.69,5.13
0,64,8388608,6,102.02,106971205.12,5.02
0,64,8388608,7,98.57,103353803.84,5.19
0,64,8388608,8,102.19,107154044.57,5.01
0,64,8388608,9,102.84,107838879.26,4.98
0,128,8388608,0,169.07,177279726.20,6.06
0,128,8388608,1,162.51,170406539.63,6.30
0,128,8388608,2,151.05,158391965.75,6.78
0,128,8388608,3,158.57,166276295.93,6.46
0,128,8388608,4,171.58,179911014.72,5.97
0,128,8388608,5,175.69,184223767.81,5.83
0,128,8388608,6,171.38,179700297.87,5.98
0,128,8388608,7,167.11,175229805.39,6.13
0,128,8388608,8,166.26,174339275.24,6.16
0,128,8388608,9,156.86,164482464.82,6.53
0,256,8388608,0,252.31,264566825.09,8.12
0,256,8388608,1,221.08,231817776.23,9.26
0,256,8388608,2,238.74,250337372.79,8.58
0,256,8388608,3,237.06,248580607.83,8.64
0,256,8388608,4,233.75,245107003.01,8.76
0,256,8388608,5,238.84,250439761.46,8.57
0,256,8388608,6,218.94,229576848.65,9.35
0,256,8388608,7,220.11,230803420.15,9.30
0,256,8388608,8,254.51,266874079.01,8.05
0,256,8388608,9,223.07,233905935.87,9.18
0,512,4194304,0,298.93,313448049.05,6.85
0,512,4194304,1,275.94,289346457.20,7.42
0,512,4194304,2,270.68,283833607.38,7.57
0,512,4194304,3,272.19,285411822.52,7.52
0,512,4194304,4,274.03,287343711.62,7.47
0,512,4194304,5,239.26,250884664.45,8.56
0,512,4194304,6,246.61,258594109.30,8.30
0,512,4194304,7,294.67,308982320.95,6.95
0,512,4194304,8,247.49,259511437.09,8.28
0,512,4194304,9,273.98,287285212.40,7.48
0,1024,2097152,0,269.28,282359786.40,7.61
0,1024,2097152,1,266.86,279817851.67,7.67
0,1024,2097152,2,287.92,301909099.74,7.11
0,1024,2097152,3,235.46,246899407.44,8.70
0,1024,2097152,4,297.93,312400931.17,6.87
0,1024,2097152,5,280.60,294231455.00,7.30
0,1024,2097152,6,274.64,287983291.10,7.46
0,1024,2097152,7,281.33,294999737.49,7.28
0,1024,2097152,8,251.79,264016799.82,8.13
0,1024,2097152,9,286.50,300415507.94,7.15
0,2048,1048576,0,257.77,270296177.22,7.94
0,2048,1048576,1,305.97,320829142.61,6.69
0,2048,1048576,2,255.42,267829594.53,8.02
0,2048,1048576,3,291.21,305353930.83,7.03
0,2048,1048576,4,273.33,286603686.99,7.49
