blockSize,blockCount,numThreads,cached,run,MBspeed,Bspeed,seconds
64,8388608,1,0,0,85.71,89871507.19,5.97
64,8388608,1,0,1,86.35,90545334.58,5.93
64,8388608,1,0,2,86.78,90996844.44,5.90
64,8388608,1,0,3,87.09,91322360.04,5.88
64,8388608,1,0,4,88.05,92328289.12,5.81
128,8388608,1,0,0,135.61,142199719.18,7.55
128,8388608,1,0,1,147.17,154321011.90,6.96
128,8388608,1,0,2,148.79,156015874.27,6.88
128,8388608,1,0,3,143.27,150234701.79,7.15
128,8388608,1,0,4,149.43,156689301.45,6.85
256,8388608,1,0,0,220.56,231272461.20,9.29
256,8388608,1,0,1,219.37,230023911.15,9.34
256,8388608,1,0,2,219.90,230585853.41,9.31
256,8388608,1,0,3,205.70,215694223.93,9.96
256,8388608,1,0,4,241.16,252878020.76,8.49
512,4194304,1,0,0,233.14,244466021.96,8.78
512,4194304,1,0,1,277.32,290793396.58,7.38
512,4194304,1,0,2,234.21,245582161.48,8.74
512,4194304,1,0,3,275.29,288657820.65,7.44
512,4194304,1,0,4,251.11,263310509.45,8.16
1024,2097152,1,0,0,284.21,298014679.68,7.21
1024,2097152,1,0,1,321.15,336748080.54,6.38
1024,2097152,1,0,2,248.22,260277550.08,8.25
1024,2097152,1,0,3,271.72,284923855.33,7.54
1024,2097152,1,0,4,318.07,333517729.40,6.44
2048,1048576,1,0,0,290.91,305036428.97,7.04
2048,1048576,1,0,1,251.59,263808906.14,8.14
2048,1048576,1,0,2,302.85,317564180.95,6.76
2048,1048576,1,0,3,265.16,278041691.83,7.72
2048,1048576,1,0,4,311.85,326999167.21,6.57
4096,524288,1,0,0,302.42,317105662.63,6.77
4096,524288,1,0,1,281.26,294921962.00,7.28
4096,524288,1,0,2,279.60,293180749.53,7.32
4096,524288,1,0,3,292.73,306950893.71,7.00
4096,524288,1,0,4,289.59,303660405.97,7.07
8192,262144,1,0,0,283.74,297520459.64,7.22
8192,262144,1,0,1,281.26,294926162.68,7.28
8192,262144,1,0,2,296.33,310723935.38,6.91
8192,262144,1,0,3,265.11,277990762.12,7.73
8192,262144,1,0,4,258.30,270851756.09,7.93
16384,131072,1,0,0,236.02,247481219.37,8.68
16384,131072,1,0,1,305.02,319838017.71,6.71
16384,131072,1,0,2,314.94,330234455.22,6.50
16384,131072,1,0,3,282.14,295844242.51,7.26
16384,131072,1,0,4,295.56,309918822.63,6.93
32768,65536,1,0,0,274.75,288094321.88,7.45
32768,65536,1,0,1,297.53,311981070.78,6.88
32768,65536,1,0,2,291.49,305647106.81,7.03
32768,65536,1,0,3,250.96,263155566.43,8.16
32768,65536,1,0,4,249.97,262108965.68,8.19
65536,32768,1,0,0,299.78,314338365.17,6.83
65536,32768,1,0,1,250.00,262146177.20,8.19
65536,32768,1,0,2,291.54,305701671.80,7.02
65536,32768,1,0,3,282.61,296337272.55,7.25
65536,32768,1,0,4,272.96,286218839.31,7.50
131072,16384,1,0,0,253.99,266322917.18,8.06
131072,16384,1,0,1,283.12,296869340.46,7.23
131072,16384,1,0,2,255.49,267902930.53,8.02
131072,16384,1,0,3,269.34,282420423.21,7.60
131072,16384,1,0,4,263.17,275949814.66,7.78
262144,4096,1,0,0,162.12,169996165.97,6.32
262144,4096,1,0,1,204.12,214035587.12,5.02
262144,4096,1,0,2,198.52,208165866.89,5.16
262144,4096,1,0,3,235.28,246711465.47,4.35
262144,4096,1,0,4,188.28,197425283.51,5.44
64,16777216,2,0,0,148.45,155658272.60,6.90
64,16777216,2,0,1,143.18,150135841.92,7.15
64,16777216,2,0,2,144.58,151603074.98,7.08
64,16777216,2,0,3,149.62,156884496.70,6.84
64,16777216,2,0,4,140.06,146867858.32,7.31
128,8388608,2,0,0,183.10,191994344.50,5.59
128,8388608,2,0,1,200.56,210301045.69,5.11
128,8388608,2,0,2,188.94,198122082.09,5.42
128,8388608,2,0,3,198.90,208557422.94,5.15
128,8388608,2,0,4,185.85,194875395.76,5.51
256,8388608,2,0,0,220.16,230856790.24,9.30
256,8388608,2,0,1,214.98,225424301.86,9.53
256,8388608,2,0,2,210.19,220395562.86,9.74
256,8388608,2,0,3,214.93,225365327.45,9.53
256,8388608,2,0,4,220.32,231018085.61,9.30
512,4194304,2,0,0,215.68,226160846.61,9.50
512,4194304,2,0,1,190.41,199655861.26,10.76
512,4194304,2,0,2,224.01,234890660.77,9.14
512,4194304,2,0,3,225.48,236430428.75,9.08
512,4194304,2,0,4,204.14,214059631.67,10.03
1024,2097152,2,0,0,187.84,196964660.76,10.90
1024,2097152,2,0,1,208.87,219020021.37,9.80
1024,2097152,2,0,2,217.11,227652244.91,9.43
1024,2097152,2,0,3,227.50,238547851.09,9.00
1024,2097152,2,0,4,209.44,219615485.00,9.78
2048,1048576,2,0,0,232.56,243855852.53,8.81
2048,1048576,2,0,1,251.15,263351104.33,8.15
2048,1048576,2,0,2,238.50,250089370.33,8.59
2048,1048576,2,0,3,212.84,223177487.88,9.62
2048,1048576,2,0,4,218.26,228860568.53,9.38
4096,524288,2,0,0,218.52,229139786.11,9.37
4096,524288,2,0,1,207.92,218016783.77,9.85
4096,524288,2,0,2,246.75,258735654.15,8.30
4096,524288,2,0,3,198.00,207619397.75,10.34
4096,524288,2,0,4,210.42,220639280.14,9.73
8192,131072,2,0,0,216.44,226956300.24,4.73
8192,131072,2,0,1,198.61,208259019.35,5.16
8192,131072,2,0,2,229.60,240755605.05,4.46
8192,131072,2,0,3,233.24,244569726.05,4.39
8192,131072,2,0,4,229.48,240622238.35,4.46
16384,65536,2,0,0,234.85,246255136.19,4.36
16384,65536,2,0,1,255.79,268215508.37,4.00
16384,65536,2,0,2,192.07,201400241.93,5.33
16384,65536,2,0,3,236.19,247663138.26,4.34
16384,65536,2,0,4,225.73,236695737.91,4.54
32768,65536,2,0,0,220.33,231030339.55,9.30
32768,65536,2,0,1,216.58,227104481.78,9.46
32768,65536,2,0,2,220.44,231151378.50,9.29
32768,65536,2,0,3,224.21,235104641.69,9.13
32768,65536,2,0,4,233.53,244878124.64,8.77
65536,32768,2,0,0,229.76,240924796.26,8.91
65536,32768,2,0,1,230.06,241232373.54,8.90
65536,32768,2,0,2,234.11,245486709.49,8.75
65536,32768,2,0,3,233.08,244406446.68,8.79
65536,32768,2,0,4,217.64,228207397.82,9.41
131072,8192,2,0,0,235.09,246513331.34,4.36
131072,8192,2,0,1,228.90,240019434.96,4.47
131072,8192,2,0,2,234.97,246385386.00,4.36
131072,8192,2,0,3,222.60,233411482.38,4.60
131072,8192,2,0,4,216.44,226954767.65,4.73
262144,8192,2,0,0,249.16,261262175.41,8.22
262144,8192,2,0,1,233.80,245157057.76,8.76
262144,8192,2,0,2,236.06,247522099.58,8.68
262144,8192,2,0,3,226.36,237351803.13,9.05
262144,8192,2,0,4,243.35,255168572.12,8.42
64,33554432,4,0,0,201.30,211074134.42,10.17
64,33554432,4,0,1,205.61,215599097.06,9.96
64,33554432,4,0,2,191.15,200438089.06,10.71
