call,run,speed
lseek,0,2672465.99
getpid,0,3003602.97
getuid,0,2983278.92
fstat,0,2174075.08
lseek,1,2692936.25
getpid,1,2997835.91
getuid,1,2985678.52
fstat,1,2241490.06
lseek,2,2568192.95
getpid,2,2869181.95
getuid,2,2962694.32
fstat,2,2220570.89
lseek,3,2633654.83
getpid,3,2973640.93
getuid,3,2967940.70
fstat,3,2216385.52
lseek,4,2665169.91
getpid,4,2833771.22
getuid,4,2896307.23
fstat,4,2166147.48
lseek,5,2668191.31
getpid,5,3003138.96
getuid,5,2974551.96
fstat,5,2236343.59
lseek,6,2668363.91
getpid,6,2971886.57
getuid,6,2934089.38
fstat,6,2227992.98
lseek,7,2686993.23
getpid,7,3003908.69
getuid,7,2982929.78
fstat,7,2245857.02
lseek,8,2683128.61
getpid,8,3003333.10
getuid,8,2983825.88
fstat,8,2234022.42
lseek,9,2694659.77
getpid,9,3001298.87
getuid,9,2993469.94
fstat,9,2241057.28
