call,run,speed
lseek,0,3005824.28
getpid,0,559810793.93
getuid,0,4116164.70
fstat,0,1587165.96
lseek,1,2556081.20
getpid,1,484158520.99
getuid,1,3691700.01
fstat,1,1584580.13
lseek,2,2984345.26
getpid,2,550173671.23
getuid,2,4048124.13
fstat,2,1628974.57
lseek,3,2944326.22
getpid,3,489641002.65
getuid,3,4020064.90
fstat,3,1711512.39
lseek,4,3004800.05
getpid,4,540308136.24
getuid,4,4039414.28
fstat,4,1647370.14
lseek,5,2974372.58
getpid,5,552472378.38
getuid,5,3997102.17
fstat,5,1656281.79
lseek,6,3031496.07
getpid,6,544364149.85
getuid,6,4072831.32
fstat,6,1717170.73
lseek,7,3024861.20
getpid,7,542051011.65
getuid,7,4080175.14
fstat,7,1663339.88
lseek,8,2897352.17
getpid,8,555554613.66
getuid,8,4068152.23
fstat,8,1715324.48
lseek,9,3022527.95
getpid,9,549355071.93
getuid,9,4087341.70
fstat,9,1689321.81
